Dataset,Algorithm,Mean_ARI,Std_ARI,Mean_Runtime,Successful_Runs,Total_Runs
HVR,KEFRiNe,0.6244504659383202,0.02527162196316278,0.021769189834594728,5,5
HVR,KEFRiNc,0.6038162730108998,0.0,0.012670373916625977,5,5
HVR,KEFRiNm,-0.06876489971677911,0.0,0.027250099182128906,5,5
Lawyers,KEFRiNe,0.4091591418285823,0.08037002785871332,0.012156391143798828,5,5
Lawyers,KEFRiNc,0.48590113097499366,0.06489785396098684,0.010318183898925781,5,5
Lawyers,KEFRiNm,0.3531677924291741,0.04175429209229377,0.013151407241821289,5,5
World Trade,KEFRiNe,0.1143183102622873,0.010822888246916683,0.009780120849609376,5,5
World Trade,KEFRiNc,0.09361835847360188,0.027971024059563542,0.011327981948852539,5,5
World Trade,KEFRiNm,0.10690540316861134,0.006755375577037647,0.009693098068237305,5,5
Parliament,KEFRiNe,0.24212865175209627,0.07786851168132519,0.5149608135223389,5,5
Parliament,KEFRiNc,0.494305990887381,0.05247656783835941,0.17776761054992676,5,5
Parliament,KEFRiNm,0.011476356910209314,0.04382468720914851,0.6527442455291748,5,5
COSN,KEFRiNe,0.8299350212861304,0.0,0.0030621051788330077,5,5
COSN,KEFRiNc,1.0,0.0,0.002768087387084961,5,5
COSN,KEFRiNm,0.8140875918624882,0.03169485884728447,0.002890157699584961,5,5
